file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,10.0,0.11728228628635406,-18.615352630615234,0.5719597935676575,3.8951528072357178,465.88296592895904,345.8457931968629,2.425297962460604e-09,20.091327667236328,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,10.0,0.10297703742980957,-19.745193481445312,0.4480941891670227,2.6194028854370117,543.0479557454914,546.0853712008063,1.2792895631719148e-08,17.273059844970703,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,10.0,0.08423589169979095,-21.49005699157715,0.42093804478645325,3.61812162399292,539.5053147804437,370.37499667836187,4.416565724252308e-10,22.1639404296875,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/003__solo_piano_contemporary_composition__intimate_space__complex.wav,10.0,0.08956258744001389,-20.957468032836914,0.46529528498649597,4.270944118499756,593.8864986195847,298.77650464484265,7.391787737454081e-10,20.95381736755371,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,10.0,0.05176304653286934,-25.7196044921875,0.34422993659973145,2.464189052581787,4063.7642881185393,1889.5393447932174,1.2513133697211742e-05,24.175203323364258,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,10.0,0.11401920765638351,-18.86043930053711,0.66036456823349,3.8480334281921387,537.0051593531708,315.5644919610087,1.375498159816857e-09,22.25816535949707,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,10.0,0.09038028866052628,-20.878524780273438,0.47855955362319946,5.369395732879639,581.4305008292076,651.2390329256857,1.6345110154247777e-08,31.677255630493164,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,10.0,0.08531137555837631,-21.37986183166504,0.4827113449573517,4.395330905914307,754.2783959271288,585.5862680220202,1.5435902556149017e-09,21.740459442138672,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,10.0,0.11239372193813324,-18.985158920288086,0.6711496114730835,4.157100677490234,738.3494163322356,227.0509476216326,2.866920589816857e-10,26.92801284790039,AudioLDM2-augment
/scratch/rc01492/experiments/final/exp2c_audioldm2_retrieval_augment/wav/009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,10.0,0.10172665864229202,-19.85130500793457,0.6349413394927979,5.628328800201416,346.86121343041384,346.8098844747711,1.5363367467102762e-08,27.353410720825195,AudioLDM2-augment
